Date,Open,High,Low,Close,Adj Close,Volume
2020-12-18,3.000000,3.368000,2.160000,2.160000,2.160000,13100
2020-12-21,2.010000,2.150000,1.510000,2.150000,2.150000,8300
2020-12-22,2.150000,2.288000,2.150000,2.288000,2.288000,900
2020-12-23,2.300000,2.300000,1.890000,1.890000,1.890000,700
2020-12-24,2.300000,2.300000,1.920000,1.920000,1.920000,6800
2020-12-28,2.230000,2.230000,1.960000,2.020000,2.020000,36900
2020-12-29,2.300000,2.321000,2.040000,2.200000,2.200000,76000
2020-12-30,2.100000,2.130000,2.080000,2.130000,2.130000,11000
2020-12-31,2.250000,2.440000,2.100000,2.130000,2.130000,2200
