Date,Open,High,Low,Close,Adj Close,Volume
2020-01-02,38.080002,38.439999,37.740002,38.200001,38.200001,357300
2020-01-03,37.580002,38.400002,37.580002,38.259998,38.259998,436900
2020-01-06,37.759998,38.500000,37.570000,38.439999,38.439999,489800
2020-01-07,38.320000,38.830002,38.189999,38.560001,38.560001,459400
2020-01-08,38.540001,38.990002,38.470001,38.730000,38.730000,436100
2020-01-09,38.980000,39.369999,38.820000,38.930000,38.930000,467800
2020-01-10,39.110001,39.360001,38.279999,38.509998,38.509998,448400
2020-01-13,38.480000,39.139999,38.040001,39.060001,39.060001,543200
2020-01-14,35.599998,37.389999,34.430000,37.080002,37.080002,1411000
2020-01-15,37.080002,38.360001,37.049999,37.930000,37.930000,1128700
2020-01-16,38.270000,38.630001,37.840000,37.900002,37.900002,890200
2020-01-17,38.299999,38.349998,37.200001,37.299999,37.299999,931400
2020-01-21,37.230000,37.680000,36.889999,36.950001,36.950001,645900
2020-01-22,37.119999,37.580002,36.669998,36.759998,36.759998,679800
2020-01-23,36.700001,36.939999,36.430000,36.599998,36.599998,483700
2020-01-24,36.549999,36.730000,35.660000,35.849998,35.849998,1454200
2020-01-27,35.080002,35.860001,34.959999,35.389999,35.389999,693300
2020-01-28,35.580002,35.910000,35.330002,35.450001,35.450001,259400
2020-01-29,35.529999,35.860001,34.730000,34.799999,34.799999,524400
2020-01-30,34.610001,35.290001,34.209999,35.270000,35.270000,329300
2020-01-31,35.130001,35.279999,34.349998,34.450001,34.450001,515900
2020-02-03,34.700001,35.060001,34.380001,34.750000,34.750000,351500
2020-02-04,35.250000,35.900002,35.139999,35.540001,35.540001,413200
2020-02-05,35.860001,36.240002,35.369999,35.570000,35.570000,567800
2020-02-06,35.830002,35.860001,35.060001,35.139999,35.139999,386600
2020-02-07,34.980000,35.060001,34.369999,34.580002,34.580002,301900
2020-02-10,34.389999,35.250000,34.340000,35.209999,35.209999,266400
2020-02-11,35.410000,35.740002,35.099998,35.349998,35.349998,374300
2020-02-12,35.709999,35.790001,35.070000,35.540001,35.540001,657700
2020-02-13,35.360001,35.820000,35.360001,35.669998,35.669998,383300
2020-02-14,35.770000,36.040001,35.540001,35.950001,35.950001,305000
2020-02-18,35.900002,35.900002,32.810001,33.240002,33.240002,1047900
2020-02-19,33.400002,34.419998,33.259998,34.029999,34.029999,713700
2020-02-20,34.029999,34.029999,33.150002,33.700001,33.700001,511000
2020-02-21,33.529999,33.529999,32.639999,33.049999,33.049999,473800
2020-02-24,31.620001,32.599998,31.420000,32.320000,32.320000,408800
2020-02-25,32.330002,32.340000,30.809999,30.840000,30.840000,617900
2020-02-26,31.000000,31.410000,29.719999,29.799999,29.799999,530800
2020-02-27,27.889999,29.190001,26.000000,28.209999,28.209999,978200
2020-02-28,27.510000,28.320000,27.070000,27.870001,27.870001,1577900
2020-03-02,28.110001,29.290001,27.309999,29.240000,29.240000,978100
2020-03-03,29.160000,29.950001,28.270000,28.709999,28.709999,1256400
2020-03-04,29.139999,30.080000,28.450001,30.020000,30.020000,1060300
2020-03-05,29.049999,30.000000,28.730000,29.410000,29.410000,1298100
2020-03-06,28.250000,29.930000,28.250000,29.790001,29.790001,1305900
2020-03-09,27.200001,30.150000,26.780001,28.940001,28.940001,1443800
2020-03-10,30.160000,30.500000,27.549999,28.129999,28.129999,1472300
2020-03-11,27.440001,27.900000,25.620001,26.139999,26.139999,956400
2020-03-12,24.360001,25.700001,22.719999,25.350000,25.350000,1299000
2020-03-13,26.459999,26.760000,24.530001,26.719999,26.719999,1284600
2020-03-16,24.100000,25.270000,22.110001,22.840000,22.840000,1336300
2020-03-17,23.190001,25.879999,22.180000,25.430000,25.430000,1553200
2020-03-18,23.980000,25.260000,20.270000,21.190001,21.190001,1550900
2020-03-19,21.190001,24.580000,20.030001,23.870001,23.870001,1452100
2020-03-20,23.980000,24.559999,21.809999,22.090000,22.090000,1769500
2020-03-23,22.410000,22.410000,20.570000,21.500000,21.500000,1787700
2020-03-24,22.600000,23.059999,21.549999,22.650000,22.650000,1693300
2020-03-25,22.639999,25.580000,21.500000,23.959999,23.959999,1839400
2020-03-26,24.190001,25.740000,23.950001,25.020000,25.020000,1044800
2020-03-27,24.100000,24.510000,23.000000,23.170000,23.170000,688700
2020-03-30,23.400000,23.950001,22.719999,23.610001,23.610001,925300
